key,label,business_unit_key,description,sort_order
hotel__experience_client,Experience client,hotel,,10
hotel__menage,Ménage,hotel,"Propreté et remise en état chambres et espaces communs : nettoyage, éponge/séchage salissures au sol, sécurisation temporaire. Exclut fuites actives (plomberie) et pannes ascenseur/CVC (équipements).",20
hotel__maintenance,Maintenance,hotel,"Maintenance légère hôtelière sous responsabilité hôtel : détails chambre et espaces, hors panne transversale.",30
hotel__linge,Linge,hotel,,40
hotel__check_in_out,Check in/out,hotel,,50
hotel__communication,Communication,hotel,,60
hotel__commercialisation,Commercialisation,hotel,,70
hotel__rh,RH,hotel,,80
hotel__signaletique,Signalétique,hotel,,90
hotel__facturation_caisse,Facturation & caisse,hotel,,100
petit_dejeuner__experience_client,Expérience client,petit_dejeuner,,110
petit_dejeuner__proprete,Propreté,petit_dejeuner,"Propreté espaces petit-déjeuner : tables, buffet, sols. Nettoyage et remise en état, pas pannes techniques.",120
petit_dejeuner__mise_en_place,Mise en place,petit_dejeuner,,130
petit_dejeuner__rh,RH,petit_dejeuner,,140
petit_dejeuner__maintenance,Maintenance,petit_dejeuner,"Maintenance légère espace PDJ hors panne transversale (plomberie, CVC, équipements).",150
petit_dejeuner__menu,Menu,petit_dejeuner,,160
petit_dejeuner__stock,Stock,petit_dejeuner,"Ruptures et réassorts stock petit-déjeuner. Produits différents = focus différent (ex. pain vs confiture).",170
petit_dejeuner__commercialisation,Commercialisation,petit_dejeuner,,180
restaurant__experience_client,Expérience client,restaurant,,190
restaurant__proprete,Propreté,restaurant,"Propreté salle et espaces clients : tables, sols, sanitaires. Exclut fuites/canalisations (plomberie).",200
restaurant__mise_en_place,Mise en place,restaurant,,210
restaurant__service_accueil,Service & accueil,restaurant,,220
restaurant__maintenance,Maintenance,restaurant,"Maintenance légère resto sous responsabilité resto : équipements salle/cuisine hors panne transversale.",230
restaurant__communication,Communication,restaurant,,240
restaurant__rh,RH,restaurant,,250
restaurant__menu,Menu,restaurant,,260
restaurant__stock,Stock,restaurant,"Ruptures et réassorts produits resto/bar. Segmenter par produit/référence dans le focus même subject stock.",270
restaurant__commercialisation,Commercialisation,restaurant,,280
restaurant__admin,Admin,restaurant,,290
livraison_uber_eats_deliveroo__emballages_presentation,Emballages & présentation,livraison_uber_eats_deliveroo,,300
livraison_uber_eats_deliveroo__performance_operationnelle,Performance opérationnelle,livraison_uber_eats_deliveroo,,310
livraison_uber_eats_deliveroo__gestion_tablette_plateforme,Gestion tablette & plateforme,livraison_uber_eats_deliveroo,,320
